file_name,eid,class_mark,sort_class_mark,orientation
88946,MS-DAR-00209-00014-000-00411.jpg,DAR 209.14: 184cr,DAR 00209.00014: 00184CR,r
140151,MS-DAR-00209-00014-000-00410.jpg,DAR 209.14: 184bv,DAR 00209.00014: 00184BV,v
88945,MS-DAR-00209-00014-000-00409.jpg,DAR 209.14: 184br,DAR 00209.00014: 00184BR,r
140150,MS-DAR-00209-00014-000-00408.jpg,DAR 209.14: 184av,DAR 00209.00014: 00184AV,v
88944,MS-DAR-00209-00014-000-00407.jpg,DAR 209.14: 184ar,DAR 00209.00014: 00184AR,r
89070,MS-DAR-00209-00014-000-00406.jpg,DAR 209.14: 183v,DAR 00209.00014: 00183v,v
89069,MS-DAR-00209-00014-000-00405.jpg,DAR 209.14: 183r,DAR 00209.00014: 00183r,r
140149,MS-DAR-00209-00014-000-00404.jpg,DAR 209.14: 182v,DAR 00209.00014: 00182V,v
19349,MS-DAR-00209-00014-000-00403.jpg,DAR 209.14: 182r,DAR 00209.00014: 00182R,r
140148,MS-DAR-00209-00014-000-00402.jpg,DAR 209.14: 181bv,DAR 00209.00014: 00181BV,v
88976,MS-DAR-00209-00014-000-00401.jpg,DAR 209.14: 181br,DAR 00209.00014: 00181BR,r
88978,MS-DAR-00209-00014-000-00400.jpg,DAR 209.14: 181av,DAR 00209.00014: 000181av,v
88977,MS-DAR-00209-00014-000-00399.jpg,DAR 209.14: 181ar,DAR 00209.00014: 000181ar,r
89061,MS-DAR-00209-00014-000-00398.jpg,DAR 209.14: 180bv,DAR 00209.00014: 00180bv,v
89060,MS-DAR-00209-00014-000-00397.jpg,DAR 209.14: 180br,DAR 00209.00014: 00180br,r
140010,MS-DAR-00209-00014-000-00396.jpg,DAR 209.14: 180av,DAR 00209.00014: 00180av,v
89059,MS-DAR-00209-00014-000-00395.jpg,DAR 209.14: 180ar,DAR 00209.00014: 00180ar,r
140147,MS-DAR-00209-00014-000-00394.jpg,DAR 209.14: 179bv,DAR 00209.00014: 00179BV,v
89058,MS-DAR-00209-00014-000-00393.jpg,DAR 209.14: 179br,DAR 00209.00014: 00179BR,r
140009,MS-DAR-00209-00014-000-00392.jpg,DAR 209.14: 179av,DAR 00209.00014: 00179av,v
89057,MS-DAR-00209-00014-000-00391.jpg,DAR 209.14: 179ar,DAR 00209.00014: 00179ar,r
89055,MS-DAR-00209-00014-000-00390.jpg,DAR 209.14: 178bv,DAR 00209.00014: 00178bv,v
89054,MS-DAR-00209-00014-000-00389.jpg,DAR 209.14: 178br,DAR 00209.00014: 00178br,r
89053,MS-DAR-00209-00014-000-00388.jpg,DAR 209.14: 178av,DAR 00209.00014: 00178av,v
89052,MS-DAR-00209-00014-000-00387.jpg,DAR 209.14: 178ar,DAR 00209.00014: 00178ar,r
140146,MS-DAR-00209-00014-000-00386.jpg,DAR 209.14: 177v,DAR 00209.00014: 00177V,v
33378,MS-DAR-00209-00014-000-00385.jpg,DAR 209.14: 177r,DAR 00209.00014: 00177R,r
140145,MS-DAR-00209-00014-000-00384.jpg,DAR 209.14: 176v,DAR 00209.00014: 00176V,v
33379,MS-DAR-00209-00014-000-00383.jpg,DAR 209.14: 176r,DAR 00209.00014: 00176R,r
140144,MS-DAR-00209-00014-000-00382.jpg,DAR 209.14: 175v,DAR 00209.00014: 00175V,v
33377,MS-DAR-00209-00014-000-00381.jpg,DAR 209.14: 175r,DAR 00209.00014: 00175R,r
